authors	year	title	journal	publication_type	volume	issue	pages	doi	zenodoId	zenodoDoi	id	contentId	zenodoResponseCorpusId
Worthen, W.B.	1996	Latitudinal variation in developmental time and mass in Drosophila melanogaster.	Evolution	Journal article	50		2523-2529		10773436	https://doi.org/10.5281/zenodo.10773436	urn:lsid:taxodros.uzh.ch:id:worthen%2C%201996	hash://md5/456e3b90d891404d3fc2dfb5c9c413dc	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wallingford, A.K. | Lee, J.C. | Loeb, G.M.	2016	The influence of temperature and photoperiod on the reproductive diapause and cold tolerance of spotted-wing drosophila, Drosophila suzukii.	Entomologia Experimentalis et Applicata	Journal article	159		327-337	https://doi.org/10.1111/eea.12443	10772325		urn:lsid:taxodros.uzh.ch:id:wallingford%20et%20al.%2C%202016c	hash://md5/f427cb37770e6bc551175f4f9d03790d	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wang, Y. | Ferveur, J.-F. | Moussian, B.	2021	Eco-genetics of desiccation resistance in Drosophila.	Biological Reviews of the Cambridge Philosophical Society	Journal article	96		1421Ð1440	https://doi.org/10.1111/brv.12709	10772413		urn:lsid:taxodros.uzh.ch:id:wang%20et%20al.%2C%202021a	hash://md5/ccd49307a196cf3e33806c9e7818ca22	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Weiser, J.	1961	Die Mikrosporidien als Parasiten der Insekten.	Monographien zur Angewandtle Entomologie	Journal article	17		1-149		10772776	https://doi.org/10.5281/zenodo.10772776	urn:lsid:taxodros.uzh.ch:id:weiser%2C%201961	hash://md5/f19678df7dfc2035e66045693c05c656	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Williamson, D.L. | Poulson, D.F.	1979	Sex ratio organisms (Spiroplasmas) of Drosophila. In: Whitcomb, R., & Tully, J. (eds), The Mycoplasmas. Vol. III, pp. 175-208.		Book chapter					10773179	https://doi.org/10.5281/zenodo.10773179	urn:lsid:taxodros.uzh.ch:id:williamson%20%26%20poulson%2C%201979	hash://md5/a0db89c45853f17a81d190aedcc63cf9	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Winston, P.W.	1956	The acorn microsere, with special reference to arthropods.	Ecology	Journal article	37		120-132		10773273	https://doi.org/10.5281/zenodo.10773273	urn:lsid:taxodros.uzh.ch:id:winston%2C%201956	hash://md5/042dcb6f520d01f309ab4d3003f0314c	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Williams, S.M.	1985	The maintenance of polymorphism owing to differences in developmental time and competition.	Canadian Journal of Genetics and Cytology [Journal canadien de genetique et de cytologie]	Journal article	27		328-333		10773169	https://doi.org/10.5281/zenodo.10773169	urn:lsid:taxodros.uzh.ch:id:williams%2C%201985	hash://md5/f2aeeb18676286d0f603150e639d39ed	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wakahama, K.-I.	1960	Notes on the Geographical Distribution of Drosophilid Flies in Matsue City and its Adjacent Localities.	Kaigaku jisshunen kinen ronbunshu [Collection of essays in commemoration of the tenth anniversary (1959) of Shimane University]	Journal article	9	nat.Sci.	118-120		10772224	https://doi.org/10.5281/zenodo.10772224	urn:lsid:taxodros.uzh.ch:id:wakahama%2C%201960	hash://md5/4305d40ae7f641e58c0ff0c1870d3515	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wheeler, M.R.	1986	Additions to the Catalog of the World's Drosophilidae. In: Ashburner, M., Carson, H.E., & Thompson, J.N. (eds), The Genetics and Biology of Drosophila, vol. 3e, pp. 395-409.		Book chapter					10773001	https://doi.org/10.5281/zenodo.10773001	urn:lsid:taxodros.uzh.ch:id:wheeler%2C%201986	hash://md5/6b19909474bebd2c6e9d803a50b460d9	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
Wisotzkey, R.G. | Carson, H.L.	1986	Sperm predominance in Drosophila silvestris. (Abstract).	Genetics	Journal article	113		s46		10773299	https://doi.org/10.5281/zenodo.10773299	urn:lsid:taxodros.uzh.ch:id:wisotzkey%20%26%20carson%2C%201986	hash://md5/cbd412473e54851178d1ebcbb6c67df4	hash://md5/75ae24a68a2b67c2932cb0f38a4f7e7c
